1stfl	First Floor	Book
2ndfl	Second Floor	Book
lowle	Lower Level	Book
over	Oversize (First Floor)	Book
audio	Sound Recordings	Sound recording
avcol	Audiovisual Collection	Motion Picture
arch	College Archives (Room 226)
ejrl	Electronic Resource
elec	Electronic Book
folio	Folio
av eq	Audiovisual Equipment
hist	Historical Indexes (Lower Level)
lease	Popular Reading Collection
micro	Microfilm (Lower Level)
post	Poster Collection
ref	Reference (First Floor)
ref2	Reference (Second Floor)
ref3	Reference (Lower Level)
refm	Music Reference (Lower Level)
res	Reserves
ser	Serials
ser,arch	Serials, Archives
spec	Special Collections
speco	Special Collections (Oversize)
specs	Special Collections (Lower Level)
