best	Bestsellers
chem	Chemistry
chem-ref	Chemistry Ref
circ	Circulation Desk
circ-res	Circulation Reserves
display	Display
etown	Etown Publications
fac-dis	Faculty Publications
games	Games
juv	Juvenile
main	Main Collection
mcfc	Microfiche
mcfm	Microfilm
med-cass	Media Cassette
med-cd	Media CD
med-dvd	Media DVD
med-lp	Media LP
med-vid	Media Videocassette
new-books	New Books
news	Newspapers
onli	Online
per	Periodicals
ref	Reference
ref-desk	Reference Desk
score	Score
spec	Archives
spec-spohn	Archives Spohn
tech	Tech Services
UNASSIGNED	UNASSIGNED
yng	Young Center
yng-durn	Young Center Durnbaugh
