LFMC / Flat Oversize Collection	Martin Library of the Sciences Flat Oversize Collection
LFMC / General Collection	Martin Library of the Sciences General Collection
LFMC / Oversize Collection	Martin Library of the Sciences Oversize Collection
LFMM / Flat Oversize Collection	Shadek-Fackenthal Library Flat Oversize Collection
LFMM / General Collection	Shadek-Fackenthal Library General Collection
LFMM / Oversize Collection	Shadek-Fackenthal Library Oversize Collection
LFMA / Archives	Special Collections Archives
LFMA / Archives - Oversize	Special Collections Archives - Oversize
LFMA / Artists Book Collection	Special Collections Artists Book Collection
LFMA / Artists Book Collection - Oversize	Special Collections Artists Book Collection - Oversize
LFMA / German American Collection	Special Collections German American Collection
LFMA / German American Collection - Oversize	Special Collections German American Collection - Oversize
LFMA / Napoleon Collection	Special Collections Napoleon Collection
LFMA / Napoleon Collection - Oversize	Special Collections Napoleon Collection - Oversize
LFMA / Rare Materials	Special Collections Rare Materials
LFMA / Rare Materials - Oversize	Special Collections Rare Materials - Oversize
LFMA / Reading Room	Special Collections Reading Room
LFMC / Ask for assistance	Martin Library of the Sciences Ask for assistance
LFMC / Atlas Area	Martin Library of the Sciences Atlas Area
LFMC / Bindery	Martin Library of the Sciences Bindery
LFMC / Browsing Collection	Martin Library of the Sciences Browsing Collection
LFMC / Browsing Oversize Collection	Martin Library of the Sciences Browsing Oversize Collection
LFMC / Display Book	Martin Library of the Sciences Display Book
LFMC / Display Media	Martin Library of the Sciences Display Media
LFMC / Government Documents Collection	Martin Library of the Sciences Government Documents Collection
LFMC / Map Area	Martin Library of the Sciences Map Area
LFMC / Media Area	Martin Library of the Sciences Media Area
LFMC / Periodicals Area	Martin Library of the Sciences Periodicals Area
LFMC / Permanent Reserve	Martin Library of the Sciences Permanent Reserve
LFMC / Reference Area	Martin Library of the Sciences Reference Area
LFMC / Replacement Pending	Martin Library of the Sciences Replacement Pending
LFMC / Reserve Desk	Martin Library of the Sciences Reserve Desk
LFMC / Staff Offices	Martin Library of the Sciences Staff Offices
LFMC / Storage - ask for assistance	Martin Library of the Sciences Storage - ask for assistance
LFMD / Classroom	Phillips Museum Classroom
LFMD / Oversize Collection	Phillips Museum Oversize Collection
LFMD / Reference Area	Phillips Museum Reference Area
LFMM / Ask for assistance	Shadek-Fackenthal Library Ask for assistance
LFMM / Bindery	Shadek-Fackenthal Library Bindery
LFMM / Browsing Collection	Shadek-Fackenthal Library Browsing Collection
LFMM / Browsing Oversize Collection	Shadek-Fackenthal Library Browsing Oversize Collection
LFMM / Cataloging	Shadek-Fackenthal Library Cataloging
LFMM / Display Book	Shadek-Fackenthal Library Display Book
LFMM / Display Media	Shadek-Fackenthal Library Display Media
LFMM / EZ Borrow	Shadek-Fackenthal Library EZ Borrow
LFMM / Government Documents Collection	Shadek-Fackenthal Library Government Documents Collection
LFMM / Interlibrary Loan	Shadek-Fackenthal Library Interlibrary Loan
LFMM / Media Area	Shadek-Fackenthal Library Media Area
LFMM / Periodicals Area	Shadek-Fackenthal Library Periodicals Area
LFMM / Reference Area	Shadek-Fackenthal Library Reference Area
LFMM / Repair	Shadek-Fackenthal Library Repair
LFMM / Replacement Pending	Shadek-Fackenthal Library Replacement Pending
LFMM / Replacing	Shadek-Fackenthal Library Replacing
LFMM / Reserve Desk	Shadek-Fackenthal Library Reserve Desk
LFMM / Search in progress	Shadek-Fackenthal Library Search in progress
LFMM / Staff Offices	Shadek-Fackenthal Library Staff Offices
LFMM / Storage - ask for assistance	Shadek-Fackenthal Library Storage - ask for assistance
LFMM / Zine Collection	Shadek-Fackenthal Library Zine Collection
